rxns	rxnnames	subsystems	keggid	reactomeid	fbasolutiontissuev
r1901	Y+LAT2 Utilized transport	Transport, extracellular			0
r1902	Y+LAT2 Utilized transport	Transport, extracellular			0
r1903	Y+LAT2 Utilized transport	Transport, extracellular			0
r1904	Y+LAT2 Utilized transport	Transport, extracellular			0
r1905	Y+LAT2 Utilized transport	Transport, extracellular			0
r1906	Y+LAT2 Utilized transport	Transport, extracellular			0
r1907	Y+LAT2 Utilized transport	Transport, extracellular			0
r1908	Y+LAT2 Utilized transport	Transport, extracellular			0
r1909	Y+LAT2 Utilized transport	Transport, extracellular			0
r1910	Y+LAT2 Utilized transport	Transport, extracellular			0
r1911	Y+LAT2 Utilized transport	Transport, extracellular			0
r1912	Y+LAT2 Utilized transport	Transport, extracellular			0
r1913	Y+LAT2 Utilized transport	Transport, extracellular			0
r1914	Y+LAT2 Utilized transport	Transport, extracellular			0
r1915	Y+LAT2 Utilized transport	Transport, extracellular			0
r1916	Y+LAT2 Utilized transport	Transport, extracellular			0
r1917	Y+LAT2 Utilized transport	Transport, extracellular			0
r1918	Y+LAT2 Utilized transport	Transport, extracellular			0
r1919	Y+LAT2 Utilized transport	Transport, extracellular			0
r1920	Y+LAT2 Utilized transport	Transport, extracellular			1000
r1921	Y+LAT2 Utilized transport	Transport, extracellular			0
r1922	Y+LAT2 Utilized transport	Transport, extracellular			0
r1923	Y+LAT2 Utilized transport	Transport, extracellular			0
r1924	Y+LAT2 Utilized transport	Transport, extracellular			0
r1925	Y+LAT2 Utilized transport	Transport, extracellular			0
r1926	Y+LAT2 Utilized transport	Transport, extracellular			0
r1928	Y+LAT2 Utilized transport	Transport, extracellular			0
r1929	Y+LAT2 Utilized transport	Transport, extracellular			0
r1930	Y+LAT2 Utilized transport	Transport, extracellular			9.85105676494104e-14
r1931	Y+LAT2 Utilized transport	Transport, extracellular			0
r1932	Y+LAT2 Utilized transport	Transport, extracellular			0
r1933	Y+LAT2 Utilized transport	Transport, extracellular			0
r1934	Y+LAT2 Utilized transport	Transport, extracellular			0
r1935	Y+LAT2 Utilized transport	Transport, extracellular			0
r1936	Y+LAT2 Utilized transport	Transport, extracellular			0
r1937	Y+LAT2 Utilized transport	Transport, extracellular			0
r1938	Y+LAT2 Utilized transport	Transport, extracellular			0
r1939	Y+LAT2 Utilized transport	Transport, extracellular			0
r1940	Y+LAT2 Utilized transport	Transport, extracellular			0
r1941	Y+LAT2 Utilized transport	Transport, extracellular			0
r1942	Y+LAT2 Utilized transport	Transport, extracellular			0
r1943	Y+LAT2 Utilized transport	Transport, extracellular			0
r1944	Y+LAT2 Utilized transport	Transport, extracellular			0
r1945	Y+LAT2 Utilized transport	Transport, extracellular			0
r1946	Y+LAT2 Utilized transport	Transport, extracellular			0
r1947	Y+LAT2 Utilized transport	Transport, extracellular			0
r1948	Y+LAT2 Utilized transport	Transport, extracellular			0
r1949	Y+LAT2 Utilized transport	Transport, extracellular			0
r1950	Y+LAT2 Utilized transport	Transport, extracellular			0
r1951	Y+LAT2 Utilized transport	Transport, extracellular			0
r1952	Y+LAT2 Utilized transport	Transport, extracellular			0
r1953	Y+LAT2 Utilized transport	Transport, extracellular			0
r1954	Y+LAT2 Utilized transport	Transport, extracellular			0
r1955	Y+LAT2 Utilized transport	Transport, extracellular			0
r1956	Y+LAT2 Utilized transport	Transport, extracellular			0
r1957	Y+LAT2 Utilized transport	Transport, extracellular			0
r1958	Y+LAT2 Utilized transport	Transport, extracellular		R-BTA-379415; R-BTA-379426; R-CEL-379415; R-CEL-379426; R-CFA-379415; R-CFA-379426; R-DME-379415; R-DME-379426; R-DRE-379415; R-DRE-379426; R-GGA-379426; R-HSA-379415; R-HSA-379426; R-MMU-379415; R-MMU-379426; R-RNO-379415; R-RNO-379426; R-SCE-379415; R-SCE-379426; R-SSC-379415; R-XTR-379415; R-XTR-379426	0
r1959	Y+LAT2 Utilized transport	Transport, extracellular			0
r1960	Y+LAT2 Utilized transport	Transport, extracellular			0
r1961	Y+LAT2 Utilized transport	Transport, extracellular			0
r1962	Y+LAT2 Utilized transport	Transport, extracellular			0
r1963	Y+LAT2 Utilized transport	Transport, extracellular			0
r1964	Y+LAT2 Utilized transport	Transport, extracellular			0
r1965	Y+LAT2 Utilized transport	Transport, extracellular			0
r1966	Y+LAT2 Utilized transport	Transport, extracellular			0
r1967	Y+LAT2 Utilized transport	Transport, extracellular			0
r1968	Y+LAT2 Utilized transport	Transport, extracellular			0
r1969	Y+LAT2 Utilized transport	Transport, extracellular			0
r1970	Y+LAT2 Utilized transport	Transport, extracellular			0
r1971	Y+LAT2 Utilized transport	Transport, extracellular			0
r1972	Y+LAT2 Utilized transport	Transport, extracellular			0
r1973	Y+LAT2 Utilized transport	Transport, extracellular			0
r1974	Y+LAT2 Utilized transport	Transport, extracellular			0
r1975	Y+LAT2 Utilized transport	Transport, extracellular			0
r1976	Y+LAT2 Utilized transport	Transport, extracellular			0
r1977	Y+LAT2 Utilized transport	Transport, extracellular			0
r1978	Y+LAT2 Utilized transport	Transport, extracellular			0
r1979	Y+LAT2 Utilized transport	Transport, extracellular			0
r1980	Y+LAT2 Utilized transport	Transport, extracellular			0
r1981	Y+LAT2 Utilized transport	Transport, extracellular			1000
r1982	Y+LAT2 Utilized transport	Transport, extracellular			0
r1983	Y+LAT2 Utilized transport	Transport, extracellular			0
r1984	Y+LAT2 Utilized transport	Transport, extracellular			0
r1985	Y+LAT2 Utilized transport	Transport, extracellular			0
r1986	Y+LAT2 Utilized transport	Transport, extracellular			0
r1987	Y+LAT2 Utilized transport	Transport, extracellular			0
r1988	Y+LAT2 Utilized transport	Transport, extracellular			0
r1989	Y+LAT2 Utilized transport	Transport, extracellular			0
r1990	Y+LAT2 Utilized transport	Transport, extracellular			0
r1991	Y+LAT2 Utilized transport	Transport, extracellular			125.188137997316
r1992	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r1993	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r1994	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r1995	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r1996	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r1997	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r1998	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r1999	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2000	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2001	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2002	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2003	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2004	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2005	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2006	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2007	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2008	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			1000
r2009	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2010	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			1000
r2011	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2012	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2013	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2014	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2015	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2016	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2017	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			-5.78516220478021e-13
r2018	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2019	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2020	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2021	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2022	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2023	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2024	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2026	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2027	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2028	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2029	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2030	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2031	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2032	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2034	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2035	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2036	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2037	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2038	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2039	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2040	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2041	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2042	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2043	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2044	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2045	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2046	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2047	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2048	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2049	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2050	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2051	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2052	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2053	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2054	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2055	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2056	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2057	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2058	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2059	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2060	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2061	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2062	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2063	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2064	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2065	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2066	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2067	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2068	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2069	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2070	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2071	Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.15	Transport, extracellular			0
r2341	Organic anion transporter 5 Utilized transport	Transport, extracellular		R-ATH-266070; R-CFA-266070; R-DDI-266070; R-HSA-266070; R-SCE-266070; R-SPO-266070; R-SSC-266070	-1000
r2342	Organic anion transporter 5 Utilized transport	Transport, extracellular			1000
r2343	Organic anion transporter 5 Utilized transport	Transport, extracellular			704.107598845964
r2344	Organic anion transporter 5 Utilized transport	Transport, extracellular			0
r2346	Organic anion transporter 5 Utilized transport	Transport, extracellular			-0
r2347	Organic anion transporter 5 Utilized transport	Transport, extracellular			1000
r2352	Organic anion transporter 5 Utilized transport	Transport, extracellular			-0
r2353	Organic anion transporter 5 Utilized transport	Transport, extracellular			-1000
r2354	Organic anion transporter 5 Utilized transport	Transport, extracellular			-0
r2355	Organic anion transporter 5 Utilized transport	Transport, extracellular			-1000
r2356	Organic anion transporter 5 Utilized transport	Transport, extracellular			-0
r2357	Organic anion transporter 5 Utilized transport	Transport, extracellular			-0
r2358	Organic anion transporter 5 Utilized transport	Transport, extracellular			-0
r2359	Organic anion transporter 5 Utilized transport	Transport, extracellular			-0
r2360	Organic anion transporter 5 Utilized transport	Transport, extracellular			-0
r2361	Organic anion transporter 5 Utilized transport	Transport, extracellular			-0
r2362	Organic anion transporter 5 Utilized transport	Transport, extracellular			-0
r2363	Organic anion transporter 5 Utilized transport	Transport, extracellular			-0
r2364	Organic anion transporter 5 Utilized transport	Transport, extracellular			-0
r2365	Organic anion transporter 5 Utilized transport	Transport, extracellular			-0
r2366	Organic anion transporter 5 Utilized transport	Transport, extracellular			-0
r2367	Organic anion transporter 5 Utilized transport	Transport, extracellular			0
r2368	Organic anion transporter 5 Utilized transport	Transport, extracellular			-0
r2369	Organic anion transporter 5 Utilized transport	Transport, extracellular			-0
r2395	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2396	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2397	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2398	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2399	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2400	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2401	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2402	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2403	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2404	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2405	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2406	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2407	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2408	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2409	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2410	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2411	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2412	Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1	Transport, mitochondrial			0
r2413	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2416	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1	Transport, mitochondrial			0
r2419	Mitochondrial Carrier (MC) TCDB:2.A.29.2.7	Transport, mitochondrial			-4.28315512790878e-13
r2420	Mitochondrial Carrier (MC) TCDB:2.A.29.2.7	Transport, mitochondrial			0
r2425	Mitochondrial Carrier (MC) TCDB:2.A.29.16.1	Transport, mitochondrial			0
CRNCARtm	Carnithine acetylcarnithine carrier  mitochondrial	Transport, mitochondrial			1000
r2434	Mitochondrial Carrier (Mc) Tcdb:2.A.29.8.3	Transport, mitochondrial			0
CARN160t_m	Hexadecanoyl-l-carnitine:carnitine antiport (Cytosol to mitochondira)	Transport, mitochondrial			1000
CARN1819Zt_m	(9Z)-octadecenoyl-l-carnitine:carnitine antiport (Cytosol to mitochondira)	Transport, mitochondrial			-420.682657391214
r2437	Mitochondrial Carrier (Mc) Tcdb:2.A.29.8.3	Transport, mitochondrial			-1000
r2438	Mitochondrial Carrier (Mc) Tcdb:2.A.29.8.3	Transport, mitochondrial			-1000
r2447	Concentrative Nucleoside Transporter (CNT) TCDB:2.A.41.2.3	Transport, extracellular			0
r2449	Concentrative Nucleoside Transporter (CNT) TCDB:2.A.41.2.4	Transport, extracellular			0
SERt2r	L serine reversible transport via proton symport	Transport, extracellular			0
r2472	Major Facilitator(MFS) TCDB:2.A.1.4.7	Transport, mitochondrial			0
G6Pt6er	Glucose 6-phosphate, inorganic phosphate antiport, endoplasmic reticular transport	Transport, endoplasmic reticular			0
r2497	ATP-binding Cassette (ABC) TCDB:3.A.1.203.3	Transport, peroxisomal			0
r2498	ATP-binding Cassette (ABC) TCDB:3.A.1.203.3	Transport, peroxisomal			0
r2499	ATP-binding Cassette (ABC) TCDB:3.A.1.203.3	Transport, peroxisomal			0
r2501	ATP-binding Cassette (ABC) TCDB:3.A.1.203.3	Transport, peroxisomal			0
r2502	ATP-binding Cassette (ABC) TCDB:3.A.1.203.3	Transport, peroxisomal			0
r2503	ATP-binding Cassette (ABC) TCDB:3.A.1.203.3	Transport, peroxisomal			0
r2505	ATP-binding Cassette (ABC) TCDB:3.A.1.208.8	Transport, endoplasmic reticular			0
r2520	Mitochondrial Carrier (MC) TCDB:2.A.29.2.1	Transport, mitochondrial			1000
GLNt	L-glutamine transport via diffusion	Transport, extracellular		R-BTA-212614; R-CFA-212614; R-GGA-212614; R-HSA-212614; R-HSA-212651; R-MMU-212614; R-RNO-212614; R-SCE-212614; R-SSC-212614; R-TGU-212614	-1000
r2526	Major Facilitator(MFS) TCDB:2.A.1.44.1	Transport, extracellular		R-ATH-8932980; R-BTA-8932980; R-CEL-8932980; R-CFA-8932980; R-DDI-8932980; R-DME-8932980; R-DRE-8932980; R-GGA-8932980; R-HSA-8932980; R-MMU-8932980; R-OSA-8932980; R-RNO-8932980; R-SCE-8932980; R-SPO-8932980; R-SSC-8932980; R-TGU-8932980; R-XTR-8932980	1000
r2532	Major Facilitator(MFS) TCDB:2.A.1.44.1	Transport, extracellular			0
r2534	Major Facilitator(MFS) TCDB:2.A.1.44.1	Transport, extracellular			1000
r2535	Major Facilitator(MFS) TCDB:2.A.1.44.1	Transport, extracellular			0
GNK	Gluconokinase	Pentose phosphate pathway	R01737		-1000
FACOAE180	Fatty-acid-CoA thioesterase (octadecanoate)	Fatty acid synthesis	R08174		-103.1
RE0453C	Nucleoside-Diphosphate Kinase	Pyrimidine synthesis			341.519919637219
RE0453N	Nucleoside-Diphosphate Kinase	Pyrimidine synthesis			0
RE0456N	Ribonucleoside-Diphosphate Reductase	Pyrimidine synthesis			1000
RE0512M	3-Hydroxyacyl Coenzyme A Dehydrogenase	Fatty acid oxidation			-0
RE0512X	3-Hydroxyacyl Coenzyme A Dehydrogenase	Fatty acid oxidation			-0
RE0565C	RE0565	Fatty acid synthesis			0
RE0569C	RE0569	Fatty acid synthesis			0
RE0577C	Palmitoyl Coenzyme A Hydrolase	Fatty acid synthesis			0
RE0578C	Palmitoyl Coenzyme A Hydrolase	Fatty acid synthesis			-0
RE0579C_1	Palmitoyl Coenzyme A Hydrolase	Fatty acid synthesis			0
ECOAR	Trans-2-enoyl-CoA reductase (18:0) (NADPH)	Fatty acid synthesis	R07761	R-ATH-548831; R-BTA-548831; R-CEL-548831; R-CFA-548831; R-DDI-548831; R-DME-548831; R-DRE-548831; R-HSA-548831; R-MMU-548831; R-OSA-548831; R-PFA-548831; R-RNO-548831; R-SCE-548831; R-SPO-548831; R-SSC-548831; R-XTR-548831	0
RE0830N	4A-Hydroxytetrahydrobiopterin Dehydratase	Tetrahydrobiopterin metabolism			-1000
RE0915E	Alpha-Amylase	Starch and sucrose metabolism			-0
RE0926E	Alpha-Amylase	Starch and sucrose metabolism			-0
RE0935E	Alpha-Amylase	Starch and sucrose metabolism			-0
RE0936E	RE0936	Miscellaneous			-0
RE0937E	RE0937	Miscellaneous			-0
RE0938E	RE0938	Miscellaneous			-0
RE0944E	Alpha-Amylase	Starch and sucrose metabolism			-0
RE0958E	Alpha-Amylase	Starch and sucrose metabolism			-0
RE1233C	Kynurenine-Oxoglutarate Transaminase	Tryptophan metabolism			5.78516220478302e-13
RE1441R_1	1-Phosphatidylinositol-4-Phosphate 5-Kinase	Phosphatidylinositol phosphate metabolism			0
RE1447N_1	Phosphatidylinositol-3,4-Bisphosphate 4-Phosphatase	Phosphatidylinositol phosphate metabolism			-500
RE1448N_1	Phosphatidylinositol-3,4,5-Trisphosphate 3-Phosphatase	Phosphatidylinositol phosphate metabolism			-500
RE1525M	3-Hydroxyacyl Coenzyme A Dehydrogenase	Fatty acid oxidation			-0
RE1525X	3-Hydroxyacyl Coenzyme A Dehydrogenase	Fatty acid oxidation			-0
RE1526M	3-Hydroxyacyl Coenzyme A Dehydrogenase	Fatty acid oxidation			-0
RE1526X	3-Hydroxyacyl Coenzyme A Dehydrogenase	Fatty acid oxidation			-0
RE1527M	3-Hydroxyacyl Coenzyme A Dehydrogenase	Fatty acid oxidation			-0
RE1527X	RE1527X	Fatty acid oxidation			-0
RE1530C	Thymidine Kinase	Pyrimidine synthesis			-1000
RE1530M	Thymidine Kinase	Pyrimidine synthesis			0
RE1573M	Dodecenoyl Coenzyme A Isomerase	Fatty acid oxidation			0
RE1573X	Dodecenoyl Coenzyme A Isomerase	Fatty acid oxidation			0
RE1709N	4A-Hydroxytetrahydrobiopterin Dehydratase	Tetrahydrobiopterin metabolism			1000
RE1796M	Steroid Delta-Isomerase	Bile acid synthesis			-0
HSD3B7	Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	Bile acid synthesis			0
RE1804M	RE1804M	Bile acid synthesis			0
RE1807C	RE1807	Bile acid synthesis			-1000
RE1807M	RE1807	Bile acid synthesis			0
RE1834C	Palmitoyl Coenzyme A Hydrolase	Bile acid synthesis			0
RE1834M	Palmitoyl Coenzyme A Hydrolase	Bile acid synthesis			0
RE1834X	Palmitoyl Coenzyme A Hydrolase	Bile acid synthesis			-0
RE1835C	Palmitoyl Coenzyme A Hydrolase	Bile acid synthesis	R03974		0
RE1845C	Bile Acid-CoA:Amino Acid N-Acyltransferase	Bile acid synthesis	R08745		0
BAAT5x	Bile acid Coenzyme A: amino acid N-acyltransferase	Bile acid synthesis	R08745		-0
RE1846C	Bile Acid-CoA:Amino Acid N-Acyltransferase	Bile acid synthesis			-0
RE1919C	RE1919	Tyrosine metabolism			-592.020520526907
RE1921C	Aromatic-L-Amino-Acid Decarboxylase	Tyrosine metabolism			-592.020520526907
RE1925C	RE1925	Tyrosine metabolism			472.786535515146
RE1933C	Arylesterase	Methionine and cysteine metabolism			-1000
RE1957R_1	1-Phosphatidylinositol-4-Phosphate 5-Kinase	Phosphatidylinositol phosphate metabolism			0
RE2034C	Alanine Transaminase	Urea cycle	R10991		1000
RE2069C	RE2069	Eicosanoid metabolism			242.009764008971
RE2078M	RE2078	Eicosanoid metabolism			-1000
RE2111M	Glycine N-Acyltransferase	Glycine, serine, alanine, and threonine metabolism			0
RE2112C	RE2112	Bile acid synthesis			1000
RE2112R	RE2112R	Bile acid synthesis			0
RE2235R	Unspecific Monooxygenase	Androgen and estrogen synthesis and metabolism	R02356		0
RE2270E	Carboxypeptidase A	Miscellaneous			0
RE2273E	Carboxypeptidase A	Miscellaneous			-0
RE2304E	Tryptase	Miscellaneous			-0
RE2349C	Kynurenine-Oxoglutarate Transaminase	Tryptophan metabolism			-0
RE2427M	Glycine N-Acyltransferase	Glycine, serine, alanine, and threonine metabolism			0
RE2428M	Glycine N-Acyltransferase	Glycine, serine, alanine, and threonine metabolism			0
RE2429M	Glycine N-Acyltransferase	Glycine, serine, alanine, and threonine metabolism			-0
RE2445E	Peptidyl-Dipeptidase A	Miscellaneous			-0
RE2526C	NADPH:Quinone Reductase	Miscellaneous			-881.776926878635
RE2605C	RE2605C	Purine catabolism			1000
RE2625M	RE2625M	Bile acid synthesis			0
RE2626M	RE2626M	Bile acid synthesis			0
RE2635R	Cholate- Coenzyme A Ligase	Bile acid synthesis			0
RE2637C	Bile Acid-CoA:Amino Acid N-Acyltransferase	Bile acid synthesis			0
RE2637X	Bile Acid-CoA:Amino Acid N-Acyltransferase	Bile acid synthesis			0
RE2638C	Bile Acid-CoA:Amino Acid N-Acyltransferase	Bile acid synthesis			0
RE2649C	Palmitoyl Coenzyme A Hydrolase	Bile acid synthesis			0
RE2649M	Palmitoyl Coenzyme A Hydrolase	Bile acid synthesis			0
RE2660N	4A-Hydroxytetrahydrobiopterin Dehydratase	Tetrahydrobiopterin metabolism			1000
RE2677N_1	N-Acylsphingosine Galactosyltransferase	Glycosphingolipid metabolism			331.906871124166
RE2705C	RE2705	Vitamin E metabolism			-1000
RE2888C_1	Peroxidase	Purine catabolism			0
RE2898C	RE2898C	Vitamin C metabolism			1000
RE2912M	Long-Chain-Fatty-Acid- Coenzyme A Ligase	Fatty acid oxidation			420.682657391213
RE2948C	RE2948	Vitamin E metabolism			1000
RE2972M_1	1-Phosphatidylinositol 4-Kinase	Phosphatidylinositol phosphate metabolism			0
RE2987X	3-Hydroxyacyl Coenzyme A Dehydrogenase	Fatty acid oxidation			-0
RE2991X	3-Hydroxyacyl Coenzyme A Dehydrogenase	Fatty acid oxidation			0
RE2992M	Dodecenoyl Coenzyme A Isomerase	Fatty acid oxidation			0
RE2992X	Dodecenoyl Coenzyme A Isomerase	Fatty acid oxidation			0
